AC_CODE,AC_NAME,ST_NAME_NEW,st_code_eci
1,Sadulshahar,Rajasthan,20
10,Nohar,Rajasthan,20
100,Ajmer North,Rajasthan,20
101,Ajmer South,Rajasthan,20
102,Nasirabad,Rajasthan,20
103,Beawar,Rajasthan,20
104,Masuda,Rajasthan,20
105,Kekri,Rajasthan,20
106,Ladnun,Rajasthan,20
107,Deedwana,Rajasthan,20
108,Jayal,Rajasthan,20
109,Nagaur,Rajasthan,20
11,Bhadra,Rajasthan,20
110,Khinwsar,Rajasthan,20
111,Merta,Rajasthan,20
112,Degana,Rajasthan,20
113,Makrana,Rajasthan,20
114,Parbatsar,Rajasthan,20
115,Nawan,Rajasthan,20
116,Jaitaran,Rajasthan,20
117,Sojat,Rajasthan,20
118,Pali,Rajasthan,20
119,Marwar Junction,Rajasthan,20
12,Khajuwala,Rajasthan,20
120,Bali,Rajasthan,20
121,Sumerpur,Rajasthan,20
122,Phalodi,Rajasthan,20
123,Lohawat,Rajasthan,20
124,Shergarh,Rajasthan,20
125,Osian,Rajasthan,20
126,Bhopalgarh,Rajasthan,20
127,Sardarpura,Rajasthan,20
128,Jodhpur,Rajasthan,20
129,Soorsagar,Rajasthan,20
13,Bikaner West,Rajasthan,20
130,Luni,Rajasthan,20
131,Bilara,Rajasthan,20
132,Jaisalmer,Rajasthan,20
133,Pokaran,Rajasthan,20
134,Sheo,Rajasthan,20
135,Barmer,Rajasthan,20
136,Baytoo,Rajasthan,20
137,Pachpadra,Rajasthan,20
138,Siwana,Rajasthan,20
139,Gudha Malani,Rajasthan,20
14,Bikaner East,Rajasthan,20
140,Chohtan,Rajasthan,20
141,Ahore,Rajasthan,20
142,Jalore,Rajasthan,20
143,Bhinmal,Rajasthan,20
144,Sanchore,Rajasthan,20
145,Raniwara,Rajasthan,20
146,Sirohi,Rajasthan,20
147,Pindwara Abu,Rajasthan,20
148,Reodar,Rajasthan,20
149,Gogunda,Rajasthan,20
15,Kolayat,Rajasthan,20
150,Jhadol,Rajasthan,20
151,Kherwara,Rajasthan,20
152,Udaipur Rural,Rajasthan,20
153,Udaipur,Rajasthan,20
154,Mavli,Rajasthan,20
155,Vallabhnagar,Rajasthan,20
156,Salumber,Rajasthan,20
157,Dhariawad,Rajasthan,20
158,Dungarpur,Rajasthan,20
159,Aspur,Rajasthan,20
16,Lunkaransar,Rajasthan,20
160,Sagwara,Rajasthan,20
161,Chorasi,Rajasthan,20
162,Ghatol,Rajasthan,20
163,Garhi,Rajasthan,20
164,Banswara,Rajasthan,20
165,Bagidora,Rajasthan,20
166,Kushalgarh,Rajasthan,20
167,Kapasan,Rajasthan,20
168,Begun,Rajasthan,20
169,Chittorgarh,Rajasthan,20
17,Dungargarh,Rajasthan,20
170,Nimbahera,Rajasthan,20
171,Bari Sadri,Rajasthan,20
172,Pratapgarh,Rajasthan,20
173,Bhim,Rajasthan,20
174,Kumbhalgarh,Rajasthan,20
175,Rajsamand,Rajasthan,20
176,Nathdwara,Rajasthan,20
177,Asind,Rajasthan,20
178,Mandal,Rajasthan,20
179,Sahara,Rajasthan,20
18,Nokha,Rajasthan,20
180,Bhilwara,Rajasthan,20
181,Shahpura,Rajasthan,20
182,Jahazpur,Rajasthan,20
183,Mandalgarh,Rajasthan,20
184,Hindoli,Rajasthan,20
185,Keshoraipatan,Rajasthan,20
186,Bundi,Rajasthan,20
187,Pipalda,Rajasthan,20
188,Sangod,Rajasthan,20
189,Kota North,Rajasthan,20
19,Sadulpur,Rajasthan,20
190,Kota South,Rajasthan,20
191,Ladpura,Rajasthan,20
192,Ramganj Mandi,Rajasthan,20
193,Anta,Rajasthan,20
194,Kishanganj,Rajasthan,20
195,Baran-Atru,Rajasthan,20
196,Chhabra,Rajasthan,20
197,Dag,Rajasthan,20
198,Jhalrapatan,Rajasthan,20
