seat_name,state_name,url_for_checking,cand_name,cand_party,cand_party_short,cand_votes,total_votes,cand_vote_share_percent,cand_position
Sadulshahar,Rajasthan,https://results.eci.gov.in/AcResultGenDecNew2023/candidateswise-S201.htm,Gurveer Singh,Bharatiya Janata Party,BJP,74433,198085,37.6,1
Sadulshahar,Rajasthan,https://results.eci.gov.in/AcResultGenDecNew2023/candidateswise-S201.htm,Om Bishnoi,Independent,Ind.,58973,198085,29.8,2
Sadulshahar,Rajasthan,https://results.eci.gov.in/AcResultGenDecNew2023/candidateswise-S201.htm,Jagdish Chander,Indian National Congress,INC,57999,198085,29.3,3
Sadulshahar,Rajasthan,https://results.eci.gov.in/AcResultGenDecNew2023/candidateswise-S201.htm,Gurvinder Kour,Aam Aadmi Party,AAP,1925,198085,1.0,4
Sadulshahar,Rajasthan,https://results.eci.gov.in/AcResultGenDecNew2023/candidateswise-S201.htm,Nota,None of the Above,NOTA,1162,198085,0.6,5
Sadulshahar,Rajasthan,https://results.eci.gov.in/AcResultGenDecNew2023/candidateswise-S201.htm,Rajendra Kumar,Bahujan Samaj Party,BSP,824,198085,0.4,6
Sadulshahar,Rajasthan,https://results.eci.gov.in/AcResultGenDecNew2023/candidateswise-S201.htm,Divakar Walia,Independent,Ind.,811,198085,0.4,7
Sadulshahar,Rajasthan,https://results.eci.gov.in/AcResultGenDecNew2023/candidateswise-S201.htm,Rai Sahab,Republican Party of India (Athawale),RPI(A),648,198085,0.3,8
Sadulshahar,Rajasthan,https://results.eci.gov.in/AcResultGenDecNew2023/candidateswise-S201.htm,Harbans Singh,Independent,Ind.,463,198085,0.2,9
Sadulshahar,Rajasthan,https://results.eci.gov.in/AcResultGenDecNew2023/candidateswise-S201.htm,Jagdish,Independent,Ind.,438,198085,0.2,10
Sadulshahar,Rajasthan,https://results.eci.gov.in/AcResultGenDecNew2023/candidateswise-S201.htm,Naresh Garg,Independent,Ind.,409,198085,0.2,11
Nohar,Rajasthan,https://results.eci.gov.in/AcResultGenDecNew2023/candidateswise-S2010.htm,Amit Chachan,Indian National Congress,INC,103623,239758,43.2,1
