seat_name,state_name,url_for_checking,cand_name,cand_party,cand_party_short,cand_votes,total_votes,cand_vote_share_percent,cand_position
Kangra,Himachal Pradesh,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S081.htm,Dr Rajeev Bhardwaj,Bharatiya Janata Party,BJP,632793,1036868,61.0,1
Kangra,Himachal Pradesh,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S081.htm,Anand Sharma,Indian National Congress,INC,380898,1036868,36.7,2
Kangra,Himachal Pradesh,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S081.htm,Rekha Chaudhary,Bahujan Samaj Party,BSP,7753,1036868,0.7,3
Kangra,Himachal Pradesh,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S081.htm,Nota,None of the Above,NOTA,6372,1036868,0.6,4
Kangra,Himachal Pradesh,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S081.htm,Advocate Sanjay Sharma,Independent,Ind.,2319,1036868,0.2,5
Kangra,Himachal Pradesh,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S081.htm,Dr Kehar Singh,Independent,Ind.,2178,1036868,0.2,6
Kangra,Himachal Pradesh,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S081.htm,Jeevan Kumar,Akhil Bhartiya Parivar Party,ABPP,1476,1036868,0.1,7
Kangra,Himachal Pradesh,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S081.htm,Narain Singh Dogra,Himachal Janta Party,HJP,1171,1036868,0.1,8
Kangra,Himachal Pradesh,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S081.htm,Bhuvnesh Kumar,Rashtriya Devbhumi Party,RDP,756,1036868,0.1,9
Kangra,Himachal Pradesh,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S081.htm,Dev Raj Bhardwaj,Rashtriya Samaj Dal (R),RSD(R),607,1036868,0.1,10
Kangra,Himachal Pradesh,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S081.htm,Achal Singh,Independent,Ind.,545,1036868,0.1,11
Mandi,Himachal Pradesh,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S082.htm,Kangna Ranaut,Bharatiya Janata Party,BJP,537022,1015810,52.9,1
Mandi,Himachal Pradesh,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S082.htm,Vikramaditya Singh,Indian National Congress,INC,462267,1015810,45.5,2
