seat_name,state_name,url_for_checking,cand_name,cand_party,cand_party_short,cand_votes,total_votes,cand_vote_share_percent,alliance,cand_position
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Md. Tajuddin,Jharkhand Mukti Morcha,JMM,140176,261163,53.7,Mahagathbandhan (JMM+),1
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Anant Kumar Ojha,Bharatiya Janata Party,BJP,96744,261163,37.0,NDA,2
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Sunil Yadav,Independent,Ind.,14012,261163,5.4,OTHERS,3
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Nota,None of the Above,NA,3058,261163,1.2,OTHERS,4
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Motilal Sarkar,Jharkhand Loktantrik Krantikari Morcha,JLKM,1918,261163,0.7,OTHERS,5
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Nandlal Sah,Lokhit Adhikar Party,LAP,1095,261163,0.4,OTHERS,6
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Saddam Hussain,Independent,Ind.,907,261163,0.3,OTHERS,7
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Adhir Kumar Mandal,Independent,Ind.,708,261163,0.3,OTHERS,8
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Randhir Prasad,Independent,Ind.,592,261163,0.2,OTHERS,9
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Murli Dhar Tiwari,Independent,Ind.,557,261163,0.2,OTHERS,10
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Rameshwar Mandal,Peoples Party of India (Democratic),PPI(D),348,261163,0.1,OTHERS,11
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Naim Sekh,Independent,Ind.,340,261163,0.1,OTHERS,12
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Md Sahadat Hussain,Samajwadi Party,SP,312,261163,0.1,OTHERS,13
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Gopal Chandra Mandal,Independent,Ind.,223,261163,0.1,OTHERS,14
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Md Aslam,Independent,Ind.,173,261163,0.1,OTHERS,15
Borio,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S272.htm,Dhananjay Soren,Jharkhand Mukti Morcha,JMM,97317,191590,50.8,Mahagathbandhan (JMM+),1
Borio,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S272.htm,Lobin Hembram,Bharatiya Janata Party,BJP,78044,191590,40.7,NDA,2
Borio,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S272.htm,Nota,None of the Above,NA,3566,191590,1.9,OTHERS,3
Borio,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S272.htm,Suryanarayan Hansda,Jharkhand Loktantrik Krantikari Morcha,JLKM,2937,191590,1.5,OTHERS,4
Borio,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S272.htm,Rama Paharia,Independent,Ind.,2251,191590,1.2,OTHERS,5
