seat_name,state_name,url_for_checking,cand_name,cand_party,cand_party_short,cand_votes,total_votes,cand_vote_share_percent,alliance,cand_position
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Anant Kumar Ojha,Bharatiya Janata Party,BJP,14301,36829,38.8,NDA,1
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Md. Tajuddin,Jharkhand Mukti Morcha,JMM,13780,36829,37.4,Mahagathbandhan (JMM+),2
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Sunil Yadav,Independent,Ind.,6706,36829,18.2,OTHERS,3
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Nota,None of the Above,NA,656,36829,1.8,OTHERS,4
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Saddam Hussain,Independent,Ind.,275,36829,0.7,OTHERS,5
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Nandlal Sah,Lokhit Adhikar Party,LAP,194,36829,0.5,OTHERS,6
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Motilal Sarkar,Jharkhand Loktantrik Krantikari Morcha,JLKM,184,36829,0.5,OTHERS,7
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Murli Dhar Tiwari,Independent,Ind.,130,36829,0.4,OTHERS,8
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Randhir Prasad,Independent,Ind.,127,36829,0.3,OTHERS,9
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Adhir Kumar Mandal,Independent,Ind.,121,36829,0.3,OTHERS,10
Rajmahal,jh,https://results.eci.gov.in/ResultAcGenNov2024/candidateswise-S271.htm,Rameshwar Mandal,Peoples Party of India (Democratic),PPI(D),107,36829,0.3,OTHERS,11
