seat_name,state_name,url_for_checking,cand_name,cand_party,cand_party_short,cand_votes,total_votes,cand_vote_share_percent,alliance,cand_position
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Gopal Sukhomajri,Independent,Ind.,12328,29838,41.3,OTHERS,1
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Shakti Rani Sharma,Bharatiya Janata Party,BJP,8403,29838,28.2,NDA,2
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Pardeep Chaudhary,Indian National Congress,INC,8374,29838,28.1,INDIA,3
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Charan Singh,Bahujan Samaj Party,BSP,224,29838,0.8,OTHERS,4
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Om Parkash Gujjar,Aam Aadmi Party,AAP,148,29838,0.5,INDIA,5
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Amit Sharma,Independent,Ind.,140,29838,0.5,OTHERS,6
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Nota,None of the Above,NA,137,29838,0.5,OTHERS,7
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Vishal,Independent,Ind.,84,29838,0.3,OTHERS,8
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Chander Mohan,Indian National Congress,INC,12292,25279,48.6,INDIA,1
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Gian Chand Gupta,Bharatiya Janata Party,BJP,11679,25279,46.2,NDA,2
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Prem Garg,Aam Aadmi Party,AAP,770,25279,3.0,INDIA,3
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Nota,None of the Above,NA,219,25279,0.9,OTHERS,4
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Dr Kshitij Choudhary,Indian National Lok Dal,INLD,126,25279,0.5,OTHERS,5
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Natasha Sood,Independent,Ind.,55,25279,0.2,OTHERS,6
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,M P Sharma,Independent,Ind.,46,25279,0.2,OTHERS,7
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Sushil Garg,Jannayak Janta Party,JJP,39,25279,0.2,OTHERS,8
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Saroj Bala,Independent,Ind.,29,25279,0.1,OTHERS,9
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Kishan Singh Negi,Right to Recall Party,RRP,17,25279,0.1,OTHERS,10
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Bharat Bhushan Gurjar,Bhartiya Veer Dal,BVD,7,25279,0.0,OTHERS,11
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Shalley Chaudhary,Indian National Congress,INC,14928,33878,44.1,INDIA,1
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Dr. Pawan Saini,Bharatiya Janata Party,BJP,11327,33878,33.4,NDA,2
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Harbilas Singh,Bahujan Samaj Party,BSP,6055,33878,17.9,OTHERS,3
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Gurpal Singh,Aam Aadmi Party,AAP,1261,33878,3.7,INDIA,4
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Nota,None of the Above,NA,116,33878,0.3,OTHERS,5
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Seema Devi,Bhartiya Shakti Chetna Party,BSCP,72,33878,0.2,OTHERS,6
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Neetu,Independent,Ind.,64,33878,0.2,OTHERS,7
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Dharampal,Independent,Ind.,55,33878,0.2,OTHERS,8
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Chitra Sarwara,Independent,Ind.,7552,18918,39.9,OTHERS,1
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Anil Vij,Bharatiya Janata Party,BJP,6353,18918,33.6,NDA,2
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Parvinder Pal Pari,Indian National Congress,INC,4019,18918,21.2,INDIA,3
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Onkar Singh,Indian National Lok Dal,INLD,482,18918,2.5,OTHERS,4
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Dharmesh Sood Rinku,Independent,Ind.,199,18918,1.1,OTHERS,5
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Nota,None of the Above,NA,82,18918,0.4,OTHERS,6
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Raj Kaur Gill,Aam Aadmi Party,AAP,73,18918,0.4,INDIA,7
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Naveen Kumar,Yuga Thulasi Party,YTP,48,18918,0.3,OTHERS,8
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Naveen Bidla,Independent,Ind.,38,18918,0.2,OTHERS,9
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Avtar Singh,Jannayak Janta Party,JJP,32,18918,0.2,OTHERS,10
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Jaswinder Golu,Independent,Ind.,24,18918,0.1,OTHERS,11
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Sunil Verma,Independent,Ind.,16,18918,0.1,OTHERS,12
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Nirmal Singh Mohra,Indian National Congress,INC,25629,50695,50.6,INDIA,1
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Aseem Goel Naneola,Bharatiya Janata Party,BJP,22704,50695,44.8,NDA,2
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Nota,None of the Above,NA,527,50695,1.0,OTHERS,3
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Ketan Sharma,Aam Aadmi Party,AAP,491,50695,1.0,INDIA,4
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Parul Nagpal Udaipuria,Aazad Samaj Party (Kanshi Ram),ASP(KR),474,50695,0.9,OTHERS,5
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Malkit Singh Bhanokheri,Bahujan Samaj Party,BSP,328,50695,0.6,OTHERS,6
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Satnam Singh,Independent,Ind.,235,50695,0.5,OTHERS,7
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Bhupinder,Independent,Ind.,125,50695,0.2,OTHERS,8
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Sunil Dutt,Independent,Ind.,65,50695,0.1,OTHERS,9
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Lalit Walia,Independent,Ind.,45,50695,0.1,OTHERS,10
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Mayur Nanda,Independent,Ind.,38,50695,0.1,OTHERS,11
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Sachin Kumar,Independent,Ind.,34,50695,0.1,OTHERS,12
