state_id,st_code_eci,seat_id,seat_name,seat_district,sc_st_2019,last_mla_name,party_full,party_short,alliance_pre_poll,date_poll,declared_winner_yes_no,total_votes,leader_votes,leader_vote_share_pc,loserName,loserParty,loserPartySname,loser_votes,loser_vote_share_pc,lead_margin_votes,lead_margin_vote_share_pc,url_for_checking
jh,S27,1,Rajmahal,Sahebganj,GEN,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,2,Borio,Sahebganj,ST,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,3,Barhait,Sahebganj,ST,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,4,Littipara,Pakur,ST,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,5,Pakur,Pakur,GEN,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,6,Maheshpur,Pakur,ST,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,7,Shikaripara,Dumka,ST,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,8,Nala,Jamtara,GEN,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,9,Jamtara,Jamtara,GEN,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,10,Dumka,Dumka,ST,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,11,Jama,Dumka,ST,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,12,Jarmundi,Dumka,GEN,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,13,Madhupur,Deoghar,GEN,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,14,Sarath,Deoghar,GEN,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,15,Deoghar,Deoghar,SC,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,16,Poreyahat,Godda,GEN,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,17,Godda,Godda,GEN,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,18,Mahagama,Godda,GEN,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,19,Kodarma,Koderma,GEN,,,,,2024-11-13,no,,,,,,,,,,,
jh,S27,20,Barkattha,Hazaribagh,GEN,,,,,2024-11-13,no,,,,,,,,,,,
jh,S27,21,Barhi,Hazaribagh,GEN,,,,,2024-11-13,no,,,,,,,,,,,
jh,S27,22,Barkagaon,Hazaribagh,GEN,,,,,2024-11-13,no,,,,,,,,,,,
jh,S27,23,Ramgarh,Ramgarh,GEN,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,24,Mandhu,Hazaribagh,GEN,,,,,2024-11-20,no,,,,,,,,,,,
jh,S27,25,Hazaribagh,Hazaribagh,GEN,,,,,2024-11-13,no,,,,,,,,,,,
jh,S27,26,Simaria,Chatra,SC,,,,,2024-11-13,no,,,,,,,,,,,
