ST_NAME_NEW,ST_CODE,PC_NAME_NEW,PC_CODE,unique_id,mpFirstLastName,partyFname,partySname,their_state_id,their_seat_id_old,phase,their_seat_id,st_code_eci,pc_code_eci,declared_winner_yes_no,leader_vote_share_pc,lead_margin_vote_share_pc,loserName,loserParty,loserPartySname,loser_vote_share_pc,lead_margin_votes
Himachal Pradesh,02,Kangra,1,02_1,Dr Rajeev Bhardwaj,Bharatiya Janata Party,BJP,13,140,7,1276,S08,1,no,60.1,22.2,Anand Sharma,Indian National Congress,INC,37.9,111047.0
Himachal Pradesh,02,Mandi,2,02_2,Kangna Ranaut,Bharatiya Janata Party,BJP,13,141,7,1277,S08,2,no,52.9,7.3,Vikramaditya Singh,Indian National Congress,INC,45.6,30017.0
Himachal Pradesh,02,Hamirpur,3,02_3,Anurag Singh Thakur,Bharatiya Janata Party,BJP,13,139,7,1275,S08,3,no,58.9,19.3,Satpal Raizada,Indian National Congress,INC,39.6,71838.0
Himachal Pradesh,02,Shimla,4,02_4,Suresh Kumar Kashyap,Bharatiya Janata Party,BJP,13,143,7,1279,S08,4,no,52.8,7.9,Vinod Sultanpuri,Indian National Congress,INC,44.9,36547.0
Punjab,03,Gurdaspur,1,03_1,Sukhjinder Singh Randhawa,Indian National Congress,INC,28,335,7,1471,S19,1,no,34.5,7.6,Dinesh Singh Babbu,Bharatiya Janata Party,BJP,26.9,13911.0
Punjab,03,Amritsar,2,03_2,Gurjeet Singh Aujla,Indian National Congress,INC,28,329,7,1465,S19,2,no,28.6,4.2,Taranjit Singh Sandhu Samundri,Bharatiya Janata Party,BJP,24.4,9299.0
Punjab,03,Khadoor Sahib,3,03_3,Amritpal Singh,Independent,Ind.,28,339,7,1475,S19,3,no,38.1,16.9,Kulbir Singh Zira,Indian National Congress,INC,21.2,50405.0
Punjab,03,Jalandhar,4,03_4,Charanjit Singh Channi,Indian National Congress,INC,28,337,7,1473,S19,4,no,38.1,13.6,Sushil Kumar Rinku,Bharatiya Janata Party,BJP,24.5,65257.0
Punjab,03,Hoshiarpur,5,03_5,Dr. Raj Kumar Chabbewal,Aam Aadmi Party,AAP,28,336,7,1472,S19,5,no,31.7,2.5,Yamini Gomar,Indian National Congress,INC,29.2,7486.0
Punjab,03,Anandpur Sahib,6,03_6,Malvinder Singh Kang,Aam Aadmi Party,AAP,28,330,7,1466,S19,6,no,27.7,0.5,Vijay Inder Singla,Indian National Congress,INC,27.2,1466.0
Punjab,03,Ludhiana,7,03_7,Amrinder Singh Raja Warring,Indian National Congress,INC,28,340,7,1476,S19,7,no,29.9,1.0,Ravneet Singh Bittu,Bharatiya Janata Party,BJP,28.9,1540.0
Punjab,03,Fatehgarh Sahib,8,03_8,Amar Singh,Indian National Congress,INC,28,333,7,1469,S19,8,no,33.4,3.6,Gurpreet Singh Gp,Aam Aadmi Party,AAP,29.8,15517.0
Punjab,03,Faridkot,9,03_9,Sarabjeet Singh Khalsa,Independent,Ind.,28,332,7,1468,S19,9,no,33.8,12.4,Karamjit Singh Anmol,Aam Aadmi Party,AAP,21.4,25785.0
Punjab,03,Firozpur,10,03_10,Nardev Singh Bobby Mann,Shiromani Akali Dal,SAD,28,334,7,1470,S19,10,no,24.1,0.3,Sher Singh Ghubaya,Indian National Congress,INC,23.8,793.0
Punjab,03,Bathinda,11,03_11,Harsimrat Kaur Badal,Shiromani Akali Dal,SAD,28,331,7,1467,S19,11,no,33.2,4.0,Gurmeet Singh Khudian,Aam Aadmi Party,AAP,29.2,14979.0
Punjab,03,Sangrur,12,03_12,Gurmeet Singh Meet Hayer,Aam Aadmi Party,AAP,28,342,7,1478,S19,12,no,37.3,17.3,Simranjit Singh Mann,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),SAD(A)(SSM),20.0,61497.0
Punjab,03,Patiala,13,03_13,Dr Dharamvira Gandhi,Indian National Congress,INC,28,341,7,1477,S19,13,no,26.3,0.2,Preneet Kaur,Bharatiya Janata Party,BJP,26.1,690.0
Uttarakhand,05,Tehri Garhwal,1,05_1,Mala Rajya Lakshmi Shah,Bharatiya Janata Party,BJP,35,516,1,1652,S28,1,no,47.8,22.0,Boby Panwar,Independent,Ind.,25.8,31153.0
Uttarakhand,05,Garhwal,2,05_2,Anil Baluni,Bharatiya Janata Party,BJP,35,513,1,1649,S28,2,no,57.7,20.3,Ganesh Godiyal,Indian National Congress,INC,37.4,34548.0
Uttarakhand,05,Almora,3,05_3,Ajay Tamta,Bharatiya Janata Party,BJP,35,512,1,1648,S28,3,no,65.2,37.1,Pradeep Tamta,Indian National Congress,INC,28.1,67860.0
Uttarakhand,05,Nainital-Udhamsingh Nagar,4,05_4,Ajay Bhatt,Bharatiya Janata Party,BJP,35,515,1,1651,S28,4,no,67.2,38.6,Prakash Joshi,Indian National Congress,INC,28.6,145319.0
Haryana,06,Ambala,1,06_1,Varun Chaudhry,Indian National Congress,INC,12,129,6,1265,S07,1,no,52.7,10.4,Banto Kataria,Bharatiya Janata Party,BJP,42.3,26947.0
Haryana,06,Kurukshetra,2,06_2,Dr Sushil Gupta,Aam Aadmi Party,AAP,12,135,6,1271,S07,2,no,44.5,2.5,Naveen Jindal,Bharatiya Janata Party,BJP,42.0,2530.0
Haryana,06,Sirsa,3,06_3,Selja,Indian National Congress,INC,12,137,6,1273,S07,3,no,55.9,22.0,Ashok Tanwar,Bharatiya Janata Party,BJP,33.9,64389.0
Haryana,06,Hisar,4,06_4,Ranjit Singh,Bharatiya Janata Party,BJP,12,133,6,1269,S07,4,no,46.8,3.0,Jai Parkash (J P) S/O Harikesh,Indian National Congress,INC,43.8,3629.0
Haryana,06,Karnal,5,06_5,Manohar Lal,Bharatiya Janata Party,BJP,12,134,6,1270,S07,5,no,51.0,11.2,Divyanshu Budhiraja,Indian National Congress,INC,39.8,28481.0
Haryana,06,Sonipat,6,06_6,Satpal Brahamchari,Indian National Congress,INC,12,138,6,1274,S07,6,no,48.6,1.7,Mohan Lal Badoli,Bharatiya Janata Party,BJP,46.9,3245.0
Haryana,06,Rohtak,7,06_7,Deepender Singh Hooda,Indian National Congress,INC,12,136,6,1272,S07,7,no,69.4,40.8,Dr. Arvind Kumar Sharma,Bharatiya Janata Party,BJP,28.6,66769.0
Haryana,06,Bhiwani-Mahendragarh,8,06_8,Dharambir Singh,Bharatiya Janata Party,BJP,12,130,6,1266,S07,8,no,49.5,3.5,Rao Dan Singh,Indian National Congress,INC,46.0,10220.0
Haryana,06,Gurgaon,9,06_9,Raj Babbar,Indian National Congress,INC,12,132,6,1268,S07,9,no,56.5,17.1,Rao Inderjit Singh,Bharatiya Janata Party,BJP,39.4,37698.0
Haryana,06,Faridabad,10,06_10,Krishan Pal,Bharatiya Janata Party,BJP,12,131,6,1267,S07,10,no,50.9,6.9,Mahender Pratap Singh,Indian National Congress,INC,44.0,12602.0
Rajasthan,08,Bharatpur,9,08_9,Sanjna Jatav,Indian National Congress,INC,29,348,1,1484,S20,9,no,51.8,5.6,Ramswaroop Koli,Bharatiya Janata Party,BJP,46.2,23890.0
Rajasthan,08,Dausa,11,08_11,Murari Lal Meena,Indian National Congress,INC,29,353,1,1489,S20,11,no,59.9,21.5,Kanhaiya Lal Meena,Bharatiya Janata Party,BJP,38.4,77351.0
Rajasthan,08,Ajmer,13,08_13,Bhagirath Choudhary,Bharatiya Janata Party,BJP,29,344,2,1480,S20,13,no,61.5,26.0,Ramchandra Choudhary,Indian National Congress,INC,35.5,122494.0
