playlist_id,playlist_name,source,track_name,track_id,artist_name,artist_id,album_name,album_id,date_released,date_added_to_playlist,date_added_to_master_list
1U6b1BIkvU3ngVIpRxLEuo,Wo Pop w/ Derek Mazzone,KEXP,Mother's Love,5SnYnqM27WNCTN8siQqtbv,Tsegue-Maryam Guebrou,1wJQvcfqhxMm2X6ErAZNrq,"Ethiopiques, vol. 21: Emahoy (Piano Solo)",4OYhJgrDTR74Yo4SE8Exdk,1963,2021-03-31,2021-05-16
1U6b1BIkvU3ngVIpRxLEuo,Wo Pop w/ Derek Mazzone,KEXP,"Ninna nanna 1968, Pt. 1",4f2IFuELEBBsOZB9Wcj9Uh,Ennio Morricone,1nIUhcKHnK6iyumRyoV68C,La Cina è vicina – Partner (Original Motion Picture Soundtrack),2weXIMfGR7B7rjcwe6k084,1967,2021-01-06,2021-05-16
1U6b1BIkvU3ngVIpRxLEuo,Wo Pop w/ Derek Mazzone,KEXP,"The Good, The Bad And The Ugly - Main Title",1JSIWsJfxOji0FrxFcxdCK,Ennio Morricone,1nIUhcKHnK6iyumRyoV68C,"The Good, The Bad & The Ugly (Original Motion Picture Soundtrack)",1oLT2HO5MVNS8U4kEuBvdJ,1967,2021-01-06,2021-05-16
1U6b1BIkvU3ngVIpRxLEuo,Wo Pop w/ Derek Mazzone,KEXP,Supermarket,4S7uMZowIqYunJEyDmXLrh,Pete Dunaway,7qIHnupl0wGd9zPy2GOL5H,Black Rio Vol. 2 - Original Samba Soul 1968-1981,6t2aQgTIcih5i58miYYbjH,1976,2021-02-10,2021-05-16
1U6b1BIkvU3ngVIpRxLEuo,Wo Pop w/ Derek Mazzone,KEXP,Change the World,3lRrPuxT2hAtHukZu8Ec7S,Solat,3JqdEHbqLzIz3wme1P8zZ1,"Change the World / Try, Try",399oeJXX9zuZLnJeM7RjG6,1977,2021-01-20,2021-05-16
1U6b1BIkvU3ngVIpRxLEuo,Wo Pop w/ Derek Mazzone,KEXP,"Ketawang Angleng, laras slendro, patet sanga",2dRGMBSFKbNkkhW9hWnzDC,Gamelan Sekar Tunjung,3YAcZCuq1TDlRjC1YzXbJK,The Music Of K.R.T. Wasitodiningrat,5jkvMyaaN3eqSd9sf6qnHq,1978,2021-05-05,2021-05-16
1U6b1BIkvU3ngVIpRxLEuo,Wo Pop w/ Derek Mazzone,KEXP,Song on the Radio,5V8NWA3QOVftD7SwQoorzD,Al Stewart,0DW7boyjvbaSP3OJ72sXgC,Time Passages,3rdxnhj6OmS0IQENzvvDWy,1978,2021-04-07,2021-05-16
1U6b1BIkvU3ngVIpRxLEuo,Wo Pop w/ Derek Mazzone,KEXP,Mouhamadou Bamba,5QdcVm85PHGVXtA14LoG59,"Orchestra Baobab, Baobab-Gouye-Gui de Dakar","7xT0arvCDupDU1YYy0BNv9, 396biTOuSgatR6cQxDFL2T",Mouhamadou Bamba,4h4yBxb4nKA2t7WH5GfXFe,1980,2021-03-17,2021-05-16
1U6b1BIkvU3ngVIpRxLEuo,Wo Pop w/ Derek Mazzone,KEXP,Carnival Long Ago,3x28GwcknX2zmsToFWNyzB,Roaring Lion,5hSF1JVkIaxGR4a3Ft5F9V,Sofrito: Tropical Discotheque,1uugUCkc33jvhFUQ6KzAYt,1980,2021-02-17,2021-05-16
1U6b1BIkvU3ngVIpRxLEuo,Wo Pop w/ Derek Mazzone,KEXP,Eze Na Aga,6CRtGzg3zH8vdCahEj7Nox,Eze-nri Royal Drummers,5uh56brydCgFTOsbUSml3g,Eze-Nri Royal Drummers Vol. 1,1gHizi5c7zZRlXJeLcd2Uu,1986,2021-01-13,2021-05-16
