playlist_name,playlist_description,playlist_owner_name,INCLUDE,playlist_url
Pitchfork Selects,The tracks Pitchfork staff has on repeat. A playlist from the famous American music website,Pitchfork,yes,https://open.spotify.com/playlist/7f9o34JAe8ZSRq4GX7f0Ol?si=670fe8de9ca34e74
Songs You Need to Know,Rolling Stone’s running playlist of the best new tracks in music.,Rolling Stone,yes,https://open.spotify.com/playlist/4z2ebTTKukc34eMDlqrnW4?si=3e34526fb2514bf0
KCRW's 5 Songs To Hear This Week,"New tunes on the regular from KCRW, an influential US radio station. It specialises in eclectic music that spans multiple genres",shijith,yes,https://open.spotify.com/playlist/5NJ8NiOnW7gSSsAQQs7I5n?si=ffa1f6ec4cc14242
New Music Discovery,"New music for people who don't follow the crowd, updated weekly by The Line Of Best Fit, a well-known British music website",The Line of Best Fit,yes,https://open.spotify.com/playlist/5359l8Co8qztllR0Mxk4Zv?si=b80d95ae27cb42f0
NME's Best New Tracks,The best releases from the biggest names. Updated every Friday. NME is an iconic brand in British music journalism,NME,yes,https://open.spotify.com/playlist/4NzWle6sDBwHLQ1tuqLKhp?si=11a5ef7d24114b50
6 Music Weekly Playlist 2025,"Compiled from the official A, B and C lists of BBC Radio 6 Music. 6 music is a British radio station specializing in alternative and indie music",stef.piatek,yes,https://open.spotify.com/playlist/10h7Yowl2t1Ie8LTI9ykQL?si=085eae7c28be470f
New Music Fix Playlist,"Tracks from the New Music Fix show on BBC Radio 6 (Just the last hour that compiles choices from all hosts). 6 music is a British radio station specializing in alternative and indie music",shijith,,https://open.spotify.com/playlist/32uSQvONpNRWU2bPxHkjhj?si=486ef2e44a5a4da3
Stereogum's Favorite New Music,Tracks featured in Stereogum.com’s 5 Best Songs Of The Week column. Updated weekly. Stereogum is a well-known American music website,Stereogum,,https://open.spotify.com/playlist/4CFWNPfP7YKjDQOC2P7Ufr?si=a95d8b934cd24752
PM Picks,"PopMatters EIC @PopSarah picks the best new tracks. Generally upbeat, melodic, soulful, indie, warm. Popmatters is a US pop culture website",PopMatters,,https://open.spotify.com/playlist/52mIszYugLHD7Xy94rCfVC?si=e9c8c0464c6d41be
Best New Dance,"Best electropop, synthpop, dance pop. Popmatters is a US pop culture website",PopMatters,,https://open.spotify.com/playlist/52mIszYugLHD7Xy94rCfVC?si=e9c8c0464c6d41be
Essential New Tracks,"100 of the hottest, newest indie, rock, alternative and other tracks. DIY is a monthly British music magazine",DIY,,https://open.spotify.com/playlist/3ofSbd8nqlIs5E0QxPudLC?si=6f5b822472204768
The Cut: all the best tracks from this New Music Friday,"The best new bangers released that week, updated every Friday. Dork is a British music magazine with a focus on indie music",dorkmagazine,,https://open.spotify.com/playlist/1IUuA19O41wAJS4GbBUmGm?si=5dedb44976b444aa
Dork Mixtape,"Best new tracks, biggest new stories. Dork is a British music magazine with a focus on indie music",dorkmagazine,,https://open.spotify.com/playlist/6US7J048IuEemQtBjTCICE?si=f9ad3b6409b94b59
