seat_id,seat_name,seat_district,leader_name,leader_party_full,leader_party_short,declared_winner_yes_no,total_votes,leader_votes,leader_vote_share_pc,loser_name,loser_party_full,loser_party_short,loser_votes,loser_vote_share_pc,lead_margin_votes,lead_margin_vote_share_pc,url_for_checking
1,Narela,North,Raj Karan Khatri,Bharatiya Janata Party,BJP,no,130520.0,65612.0,50.3,Sharad Kumar,Aam Aadmi Party,AAP,58074.0,44.5,7538.0,5.8,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U051.htm
2,Burari,Central,Sanjeev Jha,Aam Aadmi Party,AAP,no,106217.0,51841.0,48.8,Shailendra Kumar,Janata Dal  (United),JD(U),41145.0,38.7,10696.0,10.1,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm
3,Timarpur,Central,Surya Prakash Khatri,Bharatiya Janata Party,BJP,no,74883.0,33869.0,45.2,Surinder Pal Singh (Bittoo),Aam Aadmi Party,AAP,33553.0,44.8,316.0,0.4,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm
4,Adarsh Nagar,North,Raj Kumar Bhatia,Bharatiya Janata Party,BJP,no,86602.0,45144.0,52.1,Mukesh Kumar Goel,Aam Aadmi Party,AAP,35469.0,41.0,9675.0,11.1,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm
5,Badli,North,Aahir Deepak Chaudharyy,Bharatiya Janata Party,BJP,no,92095.0,35436.0,38.5,Ajesh Yadav,Aam Aadmi Party,AAP,28847.0,31.3,6589.0,7.2,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U055.htm
6,Rithala,North-West,Kulwant Rana,Bharatiya Janata Party,BJP,no,187164.0,104371.0,55.8,Mohinder Goyal,Aam Aadmi Party,AAP,74755.0,39.9,29616.0,15.9,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U056.htm
7,Bawana,North,Ravinder Indraj Singh,Bharatiya Janata Party,BJP,no,126555.0,65944.0,52.1,Jai Bhagwan Upkar,Aam Aadmi Party,AAP,45037.0,35.6,20907.0,16.5,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U057.htm
8,Mundka,North-West,Gajender Drall,Bharatiya Janata Party,BJP,no,117727.0,59971.0,50.9,Jasbir Karala,Aam Aadmi Party,AAP,46012.0,39.1,13959.0,11.8,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U058.htm
9,Kirari,North-West,Anil Jha,Aam Aadmi Party,AAP,no,179791.0,96031.0,53.4,Bajrang Shukla,Bharatiya Janata Party,BJP,72207.0,40.2,23824.0,13.2,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U059.htm
10,Sultanpur Majra,North-West,Mukesh Kumar Ahlawat,Aam Aadmi Party,AAP,yes,112825.0,58767.0,52.1,Karam Singh Karma,Bharatiya Janata Party,BJP,41641.0,36.9,17126.0,15.2,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0510.htm
11,Nangloi Jat,West,Manoj Kumar Shokeen,Bharatiya Janata Party,BJP,no,121464.0,56030.0,46.1,Raghuvinder Shokeen,Aam Aadmi Party,AAP,38753.0,31.9,17277.0,14.2,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0511.htm
12,Mangol Puri,North-West,Raj Kumar Chauhan,Bharatiya Janata Party,BJP,no,123450.0,62007.0,50.2,Dharam Rakshak Alias Rakesh Jatav,Aam Aadmi Party,AAP,55752.0,45.2,6255.0,5.0,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0512.htm
13,Rohini,North,Vijender Gupta,Bharatiya Janata Party,BJP,no,106480.0,69045.0,64.8,Pardeep Mittal,Aam Aadmi Party,AAP,32223.0,30.3,36822.0,34.5,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0513.htm
14,Shalimar Bagh,North-West,Rekha Gupta,Bharatiya Janata Party,BJP,yes,113764.0,68200.0,59.9,Bandana Kumari,Aam Aadmi Party,AAP,38605.0,33.9,29595.0,26.0,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0514.htm
15,Shakur Basti,North,Karnail Singh,Bharatiya Janata Party,BJP,no,99652.0,56869.0,57.1,Satyendar Jain,Aam Aadmi Party,AAP,35871.0,36.0,20998.0,21.1,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0515.htm
16,Tri Nagar,North-West,Tilak Ram Gupta,Bharatiya Janata Party,BJP,yes,110697.0,59073.0,53.4,Preeti Jitender Tomar,Aam Aadmi Party,AAP,43177.0,39.0,15896.0,14.4,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0516.htm
17,Wazirpur,North,Poonam Sharma,Bharatiya Janata Party,BJP,no,90282.0,45630.0,50.5,Rajesh Gupta,Aam Aadmi Party,AAP,37205.0,41.2,8425.0,9.3,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0517.htm
