seat_name,url_for_checking,cand_name,cand_party,cand_party_short,cand_votes,total_votes,cand_vote_share_percent,cand_position
Narela,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U051.htm,Raj Karan Khatri,Bharatiya Janata Party,BJP,87215,174746,49.9,1
Narela,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U051.htm,Sharad Kumar,Aam Aadmi Party,AAP,78619,174746,45.0,2
Narela,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U051.htm,Aruna,Indian National Congress,CONG,6782,174746,3.9,3
Narela,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U051.htm,Anil Kumar Singh,Communist Party of India  (Marxist-Leninist)  (Liberation),CPI(ML)(L),328,174746,0.2,4
Narela,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U051.htm,Vikas Bhardwaj,Independent,Ind.,301,174746,0.2,5
Narela,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U051.htm,Md Khalid,Aazad Samaj Party (Kanshi Ram),ASP(KR),278,174746,0.2,6
Narela,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U051.htm,Budiya,Independent,Ind.,242,174746,0.1,7
Narela,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U051.htm,Nota,None of the Above,NA,981,174746,0.6,8
Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Sanjeev Jha,Aam Aadmi Party,AAP,93484,195941,47.7,1
Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Shailendra Kumar,Janata Dal  (United),JD(U),76600,195941,39.1,2
Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Mangesh Tyagi,Indian National Congress,CONG,15902,195941,8.1,3
Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Ratan Tyagi,Nationalist Congress Party,NCP,2904,195941,1.5,4
Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Ganga Ram,Bahujan Samaj Party,BSP,1719,195941,0.9,5
Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Sonu Kaushik,Aapki Apni Party (Peoples),AAP(P),620,195941,0.3,6
Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Anil Kapoor,Janhit Dal,JD,602,195941,0.3,7
Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Vijay Kumar Jha,Rachnatmak Jan Morcha,RJM,473,195941,0.2,8
Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Sunil Kumar Vyathit,Aam Aadmi Sangharsh Party (S),AASP(S),468,195941,0.2,9
Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Abhishek Kumar Singh (Master Ji),Rashtriya Janshakti Party (Secular),RJP(S),299,195941,0.2,10
Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Pramod,Sarvodaya Prabhat Party,SPP,248,195941,0.1,11
Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Gulab Singhal,Bhim Sena,BS,237,195941,0.1,12
Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Mukesh Prasad,Bhartiya Janta Dal (Integrated),BJD(I),234,195941,0.1,13
Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Dhurva Kumar,Right to Recall Party,RRP,173,195941,0.1,14
Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Nota,None of the Above,NA,1978,195941,1.0,15
Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Surya Prakash Khatri,Bharatiya Janata Party,BJP,55941,121541,46.0,1
Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Surinder Pal Singh (Bittoo),Aam Aadmi Party,AAP,54773,121541,45.1,2
Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Lokendra Kalyan Singh,Indian National Congress,CONG,8361,121541,6.9,3
Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Surender Pal,Bahujan Samaj Party,BSP,985,121541,0.8,4
Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Tarun Kumar,Republican Sena,RS,167,121541,0.1,5
Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Deepak Chawla,Republican Party of India (Athawale),RPI(A),113,121541,0.1,6
Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Rajkumar Bharti,Peoples Party of India (Democratic),PPI(D),112,121541,0.1,7
Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Ram Raj Singh,Rashtriya Janshakti Party (Secular),RJP(S),109,121541,0.1,8
Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Sangh Priya Siddhartha,Bhim Sena,BS,107,121541,0.1,9
Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Rakesh Ranjan Shrivastav,Janhit Dal,JD,91,121541,0.1,10
Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Wasim Akram,Indian National Socialistic Action Forces,INSAF,69,121541,0.1,11
Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Bijender Kumar,Jan Samuh Party,JSP,50,121541,0.0,12
Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Nota,None of the Above,NA,663,121541,0.5,13
Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Raj Kumar Bhatia,Bharatiya Janata Party,BJP,52510,100460,52.3,1
Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Mukesh Kumar Goel,Aam Aadmi Party,AAP,41028,100460,40.8,2
Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Shivank Singal,Indian National Congress,CONG,5460,100460,5.4,3
Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Abdul Zabbar,Bahujan Samaj Party,BSP,344,100460,0.3,4
Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Ram Niwas,Independent,Ind.,140,100460,0.1,5
Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Sanjeev Kumar Rana,Communist Party of India,CPI,133,100460,0.1,6
Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Vijay Kr. Aggarwal,Independent,Ind.,116,100460,0.1,7
Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Neetu Singh,Independent,Ind.,111,100460,0.1,8
