seat_id,seat_name,url_for_checking,cand_name,cand_party,cand_party_short,cand_votes,total_votes,cand_vote_share_percent,cand_position
1,Narela,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U051.htm,Raj Karan Khatri,Bharatiya Janata Party,BJP,87215,174746,49.9,1
1,Narela,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U051.htm,Sharad Kumar,Aam Aadmi Party,AAP,78619,174746,45.0,2
1,Narela,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U051.htm,Aruna,Indian National Congress,CONG,6782,174746,3.9,3
1,Narela,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U051.htm,Nota,None of the Above,NA,981,174746,0.6,4
1,Narela,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U051.htm,Anil Kumar Singh,Communist Party of India  (Marxist-Leninist)  (Liberation),CPI(ML)(L),328,174746,0.2,5
1,Narela,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U051.htm,Vikas Bhardwaj,Independent,Ind.,301,174746,0.2,6
1,Narela,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U051.htm,Md Khalid,Aazad Samaj Party (Kanshi Ram),ASP(KR),278,174746,0.2,7
1,Narela,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U051.htm,Budiya,Independent,Ind.,242,174746,0.1,8
2,Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Sanjeev Jha,Aam Aadmi Party,AAP,121181,254737,47.6,1
2,Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Shailendra Kumar,Janata Dal  (United),JD(U),100580,254737,39.5,2
2,Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Mangesh Tyagi,Indian National Congress,CONG,19920,254737,7.8,3
2,Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Ratan Tyagi,Nationalist Congress Party,NCP,3852,254737,1.5,4
2,Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Nota,None of the Above,NA,2548,254737,1.0,5
2,Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Ganga Ram,Bahujan Samaj Party,BSP,2214,254737,0.9,6
2,Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Anil Kapoor,Janhit Dal,JD,869,254737,0.3,7
2,Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Sonu Kaushik,Aapki Apni Party (Peoples),AAP(P),739,254737,0.3,8
2,Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Vijay Kumar Jha,Rachnatmak Jan Morcha,RJM,589,254737,0.2,9
2,Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Sunil Kumar Vyathit,Aam Aadmi Sangharsh Party (S),AASP(S),569,254737,0.2,10
2,Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Abhishek Kumar Singh (Master Ji),Rashtriya Janshakti Party (Secular),RJP(S),531,254737,0.2,11
2,Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Gulab Singhal,Bhim Sena,BS,318,254737,0.1,12
2,Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Pramod,Sarvodaya Prabhat Party,SPP,315,254737,0.1,13
2,Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Mukesh Prasad,Bhartiya Janta Dal (Integrated),BJD(I),288,254737,0.1,14
2,Burari,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U052.htm,Dhurva Kumar,Right to Recall Party,RRP,224,254737,0.1,15
3,Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Surya Prakash Khatri,Bharatiya Janata Party,BJP,55941,121541,46.0,1
3,Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Surinder Pal Singh (Bittoo),Aam Aadmi Party,AAP,54773,121541,45.1,2
3,Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Lokendra Kalyan Singh,Indian National Congress,CONG,8361,121541,6.9,3
3,Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Surender Pal,Bahujan Samaj Party,BSP,985,121541,0.8,4
3,Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Nota,None of the Above,NA,663,121541,0.5,5
3,Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Tarun Kumar,Republican Sena,RS,167,121541,0.1,6
3,Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Deepak Chawla,Republican Party of India (Athawale),RPI(A),113,121541,0.1,7
3,Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Rajkumar Bharti,Peoples Party of India (Democratic),PPI(D),112,121541,0.1,8
3,Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Ram Raj Singh,Rashtriya Janshakti Party (Secular),RJP(S),109,121541,0.1,9
3,Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Sangh Priya Siddhartha,Bhim Sena,BS,107,121541,0.1,10
3,Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Rakesh Ranjan Shrivastav,Janhit Dal,JD,91,121541,0.1,11
3,Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Wasim Akram,Indian National Socialistic Action Forces,INSAF,69,121541,0.1,12
3,Timarpur,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U053.htm,Bijender Kumar,Jan Samuh Party,JSP,50,121541,0.0,13
4,Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Raj Kumar Bhatia,Bharatiya Janata Party,BJP,52510,100460,52.3,1
4,Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Mukesh Kumar Goel,Aam Aadmi Party,AAP,41028,100460,40.8,2
4,Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Shivank Singal,Indian National Congress,CONG,5460,100460,5.4,3
4,Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Nota,None of the Above,NA,377,100460,0.4,4
4,Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Abdul Zabbar,Bahujan Samaj Party,BSP,344,100460,0.3,5
4,Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Ram Niwas,Independent,Ind.,140,100460,0.1,6
4,Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Sanjeev Kumar Rana,Communist Party of India,CPI,133,100460,0.1,7
4,Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Vijay Kr. Aggarwal,Independent,Ind.,116,100460,0.1,8
4,Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Neetu Singh,Independent,Ind.,111,100460,0.1,9
4,Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Ayush Gupta,Independent,Ind.,64,100460,0.1,10
4,Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Priya,"Aam Janmat Party,",AJP,56,100460,0.1,11
4,Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Prem Chand,Rashtrawadi Janlok Party (Satya),RJP(S),41,100460,0.0,12
4,Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Sanjay Yadav Advocate,Peoples Party of India (Democratic),PPI(D),35,100460,0.0,13
4,Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Vishal Singh,National Youth Party,NYP,27,100460,0.0,14
4,Adarsh Nagar,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U054.htm,Md: Rahmat Ali,Navarang Congress Party,NCP,18,100460,0.0,15
5,Badli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U055.htm,Aahir Deepak Chaudharyy,Bharatiya Janata Party,BJP,61192,150866,40.6,1
5,Badli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U055.htm,Ajesh Yadav,Aam Aadmi Party,AAP,46029,150866,30.5,2
5,Badli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U055.htm,Devender Yadav,Indian National Congress,CONG,41071,150866,27.2,3
5,Badli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U055.htm,Ravinder Kumar,Bahujan Samaj Party,BSP,725,150866,0.5,4
5,Badli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U055.htm,Nota,None of the Above,NA,692,150866,0.5,5
5,Badli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U055.htm,Parmod Kumar,Socialist Unity Centre Of India (COMMUNIST),SUCOI(COMMUNIST),250,150866,0.2,6
5,Badli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U055.htm,Devender Kumar Yadav,Independent,Ind.,235,150866,0.2,7
5,Badli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U055.htm,Jai Pal,Independent,Ind.,214,150866,0.1,8
5,Badli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U055.htm,Arun Kumar,Independent,Ind.,158,150866,0.1,9
5,Badli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U055.htm,Mulayam Singh,Nationalist Congress Party,NCP,92,150866,0.1,10
5,Badli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U055.htm,Gopal Kumar Sinha,Bharatiya Sampuran Krantikari Party,BSKP,76,150866,0.1,11
5,Badli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U055.htm,Rajender,"Aam Janmat Party,",AJP,68,150866,0.0,12
5,Badli,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U055.htm,R. C. Sharma,Sarvodaya Prabhat Party,SPP,64,150866,0.0,13
6,Rithala,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U056.htm,Kulwant Rana,Bharatiya Janata Party,BJP,104371,187164,55.8,1
6,Rithala,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U056.htm,Mohinder Goyal,Aam Aadmi Party,AAP,74755,187164,39.9,2
6,Rithala,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U056.htm,Sushant Mishra,Indian National Congress,CONG,5258,187164,2.8,3
6,Rithala,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U056.htm,Nota,None of the Above,NA,1235,187164,0.7,4
6,Rithala,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U056.htm,Neyaz Khan,Bahujan Samaj Party,BSP,619,187164,0.3,5
6,Rithala,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U056.htm,Ashok Jain,Yuva Bharat Rashtraseva Party,YBRP,213,187164,0.1,6
6,Rithala,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U056.htm,Vidya Patti,Independent,Ind.,167,187164,0.1,7
6,Rithala,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U056.htm,Nishtha,Jai Maha Bharath Party,JMBP,155,187164,0.1,8
6,Rithala,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U056.htm,Vishal Gupta,Independent,Ind.,117,187164,0.1,9
