seat_id,seat_name,seat_district,leader_name,leader_party_full,leader_party_short,declared_winner_yes_no,total_votes,leader_votes,leader_vote_share_pc,loser_name,loser_party_full,loser_party_short,loser_votes,loser_vote_share_pc,lead_margin_votes,lead_margin_vote_share_pc,url_for_checking
1,Narela,North,,,,no,,,,,,,,,,,
2,Burari,Central,,,,no,,,,,,,,,,,
3,Timarpur,Central,,,,no,,,,,,,,,,,
4,Adarsh Nagar,North,,,,no,,,,,,,,,,,
5,Badli,North,,,,no,,,,,,,,,,,
6,Rithala,North-West,,,,no,,,,,,,,,,,
7,Bawana,North,,,,no,,,,,,,,,,,
8,Mundka,North-West,,,,no,,,,,,,,,,,
9,Kirari,North-West,,,,no,,,,,,,,,,,
10,Sultanpur Majra,North-West,,,,no,,,,,,,,,,,
11,Nangloi Jat,West,,,,no,,,,,,,,,,,
12,Mangol Puri,North-West,,,,no,,,,,,,,,,,
13,Rohini,North,,,,no,,,,,,,,,,,
14,Shalimar Bagh,North-West,,,,no,,,,,,,,,,,
15,Shakur Basti,North,,,,no,,,,,,,,,,,
16,Tri Nagar,North-West,,,,no,,,,,,,,,,,
17,Wazirpur,North,,,,no,,,,,,,,,,,
18,Model Town,North,,,,no,,,,,,,,,,,
19,Sadar Bazar,Central,,,,no,,,,,,,,,,,
20,Chandni Chowk,Central,,,,no,,,,,,,,,,,
21,Matia Mahal,Central,,,,no,,,,,,,,,,,
22,Ballimaran,Central,,,,no,,,,,,,,,,,
23,Karol Bagh,Central,,,,no,,,,,,,,,,,
24,Patel Nagar,New Delhi,,,,no,,,,,,,,,,,
25,Moti Nagar,West,,,,no,,,,,,,,,,,
26,Madipur,West,,,,no,,,,,,,,,,,
27,Rajouri Garden,West,,,,no,,,,,,,,,,,
28,Hari Nagar,West,,,,no,,,,,,,,,,,
29,Tilak Nagar,West,,,,no,,,,,,,,,,,
30,Janakpuri,West,,,,no,,,,,,,,,,,
31,Vikaspuri,South-West,,,,no,,,,,,,,,,,
32,Uttam Nagar,South-West,,,,no,,,,,,,,,,,
33,Dwarka,South-West,,,,no,,,,,,,,,,,
34,Matiala,South-West,,,,no,,,,,,,,,,,
35,Najafgarh,South-West,,,,no,,,,,,,,,,,
36,Bijwasan,South-West,,,,no,,,,,,,,,,,
37,Palam,South-West,,,,no,,,,,,,,,,,
38,Delhi Cantt,New Delhi,,,,no,,,,,,,,,,,
39,Rajinder Nagar,New Delhi,,,,no,,,,,,,,,,,
40,New Delhi,New Delhi,,,,no,,,,,,,,,,,
41,Jangpura,South-East,,,,no,,,,,,,,,,,
42,Kasturba Nagar,South-East,,,,no,,,,,,,,,,,
43,Malviya Nagar,South,,,,no,,,,,,,,,,,
44,R K Puram,New Delhi,,,,no,,,,,,,,,,,
45,Mehrauli,South,,,,no,,,,,,,,,,,
46,Chhatarpur,South,,,,no,,,,,,,,,,,
47,Deoli,South,,,,no,,,,,,,,,,,
48,Ambedkar Nagar,South,,,,no,,,,,,,,,,,
49,Sangam Vihar,South-East,,,,no,,,,,,,,,,,
50,Greater Kailash,New Delhi,,,,no,,,,,,,,,,,
51,Kalkaji,South-East,,,,no,,,,,,,,,,,
52,Tughlakabad,South-East,,,,no,,,,,,,,,,,
53,Badarpur,South-East,,,,no,,,,,,,,,,,
54,Okhla,South-East,,,,no,,,,,,,,,,,
55,Trilokpuri,East,,,,no,,,,,,,,,,,
56,Kondli,East,,,,no,,,,,,,,,,,
57,Patparganj,East,,,,no,,,,,,,,,,,
58,Laxmi Nagar,East,,,,no,,,,,,,,,,,
59,Vishwas Nagar,Shahdara,,,,no,,,,,,,,,,,
60,Krishna Nagar,East,,,,no,,,,,,,,,,,
61,Gandhi Nagar,East,,,,no,,,,,,,,,,,
62,Shahdara,Shahdara,,,,no,,,,,,,,,,,
63,Seema Puri,Shahdara,,,,no,,,,,,,,,,,
64,Rohtas Nagar,Shahdara,,,,no,,,,,,,,,,,
65,Seelampur,North-East,,,,no,,,,,,,,,,,
66,Ghonda,North-East,,,,no,,,,,,,,,,,
67,Babarpur,Shahdara,,,,no,,,,,,,,,,,
68,Gokalpur,North-East,,,,no,,,,,,,,,,,
69,Mustafabad,North-East,,,,no,,,,,,,,,,,
70,Karawal Nagar,North-East,,,,no,,,,,,,,,,,
