seat_id,seat_name,AAP_CONG_combined,BJP_votes,more_than_BJP,WON_BY,more_than_BJP_not_won
1,Narela,85401,87215.0,NO,BJP,
2,Burari,126181,,NO,AAP,
3,Timarpur,63134,55941.0,YES,BJP,YES
4,Adarsh Nagar,46488,52510.0,NO,BJP,
5,Badli,87100,61192.0,YES,BJP,YES
6,Rithala,80013,104371.0,NO,BJP,
7,Bawana,106753,119515.0,NO,BJP,
8,Mundka,89579,89839.0,NO,BJP,
9,Kirari,112644,83909.0,YES,AAP,
10,Sultanpur Majra,67455,41641.0,YES,AAP,
11,Nangloi Jat,81049,75272.0,YES,BJP,YES
12,Mangol Puri,59536,62007.0,NO,BJP,
13,Rohini,36314,70365.0,NO,BJP,
14,Shalimar Bagh,43497,68200.0,NO,BJP,
15,Shakur Basti,41655,56869.0,NO,BJP,
16,Tri Nagar,50074,59073.0,NO,BJP,
17,Wazirpur,49644,54721.0,NO,BJP,
18,Model Town,42601,52108.0,NO,BJP,
19,Sadar Bazar,66234,49870.0,YES,AAP,
20,Chandni Chowk,48058,22421.0,YES,AAP,
21,Matia Mahal,68415,15396.0,YES,AAP,
22,Ballimaran,70063,27181.0,YES,AAP,
23,Karol Bagh,56549,44867.0,YES,AAP,
24,Patel Nagar,62166,53463.0,YES,AAP,
25,Moti Nagar,49242,57565.0,NO,BJP,
26,Madipur,59078,52019.0,YES,BJP,YES
27,Rajouri Garden,49140,64132.0,NO,BJP,
28,Hari Nagar,47799,50179.0,NO,BJP,
29,Tilak Nagar,54881,40478.0,YES,AAP,
30,Janakpuri,53565,68986.0,NO,BJP,
31,Vikaspuri,117382,122839.0,NO,BJP,
32,Uttam Nagar,89438,103613.0,NO,BJP,
33,Dwarka,68081,69137.0,NO,BJP,
34,Matiala,127257,146295.0,NO,BJP,
35,Najafgarh,75601,101708.0,NO,BJP,
36,Bijwasan,63084,64951.0,NO,BJP,
37,Palam,77791,82046.0,NO,BJP,
38,Delhi Cantt,26443,20162.0,YES,AAP,
39,Rajinder Nagar,49455,46671.0,YES,BJP,YES
40,New Delhi,30567,30088.0,YES,BJP,YES
41,Jangpura,45534,38859.0,YES,BJP,YES
42,Kasturba Nagar,45636,38067.0,YES,BJP,YES
43,Malviya Nagar,44203,39564.0,YES,BJP,YES
44,R K Puram,31886,43260.0,NO,BJP,
45,Mehrauli,55905,48349.0,YES,BJP,YES
46,Chhatarpur,80831,80469.0,YES,BJP,YES
47,Deoli,99100,,NO,AAP,
48,Ambedkar Nagar,53457,42055.0,YES,AAP,
49,Sangam Vihar,69568,54049.0,YES,BJP,YES
50,Greater Kailash,53117,49594.0,YES,BJP,YES
51,Kalkaji,56546,48633.0,YES,AAP,
52,Tughlakabad,64468,47444.0,YES,AAP,
53,Badarpur,116136,87103.0,YES,AAP,
54,Okhla,101682,65304.0,YES,AAP,
55,Trilokpuri,63972,58217.0,YES,BJP,YES
56,Kondli,69022,55499.0,YES,AAP,
57,Patparganj,62537,74060.0,NO,BJP,
58,Laxmi Nagar,58632,65858.0,NO,BJP,
59,Vishwas Nagar,50726,72141.0,NO,BJP,
60,Krishna Nagar,65817,75922.0,NO,BJP,
61,Gandhi Nagar,47563,56858.0,NO,BJP,
62,Shahdara,61472,62788.0,NO,BJP,
63,Seema Puri,78176,55985.0,YES,AAP,
64,Rohtas Nagar,58633,82896.0,NO,BJP,
65,Seelampur,95560,36532.0,YES,AAP,
66,Ghonda,58812,79987.0,NO,BJP,
67,Babarpur,84989,57198.0,YES,AAP,
68,Gokalpur,86409,72297.0,YES,AAP,
69,Mustafabad,79400,85215.0,NO,BJP,
70,Karawal Nagar,87933,107367.0,NO,BJP,
