seat_id,seat_name,AAP_votes,CONG_votes,AAP_CONG_combined,BJP_votes,more_than_BJP,WON_BY,more_than_BJP_not_won
1,Narela,78619,6782,85401,87215.0,NO,BJP,
2,Burari,121181,19920,141101,,NO,AAP,
3,Timarpur,54773,8361,63134,55941.0,YES,BJP,YES
4,Adarsh Nagar,41028,5460,46488,52510.0,NO,BJP,
5,Badli,46029,41071,87100,61192.0,YES,BJP,YES
6,Rithala,74755,5258,80013,104371.0,NO,BJP,
7,Bawana,88040,18713,106753,119515.0,NO,BJP,
8,Mundka,79289,10290,89579,89839.0,NO,BJP,
9,Kirari,105780,6864,112644,83909.0,YES,AAP,
10,Sultanpur Majra,58767,8688,67455,41641.0,YES,AAP,
11,Nangloi Jat,49021,32028,81049,75272.0,YES,BJP,YES
12,Mangol Puri,55752,3784,59536,62007.0,NO,BJP,
13,Rohini,32549,3765,36314,70365.0,NO,BJP,
14,Shalimar Bagh,38605,4892,43497,68200.0,NO,BJP,
15,Shakur Basti,35871,5784,41655,56869.0,NO,BJP,
16,Tri Nagar,43177,6897,50074,59073.0,NO,BJP,
17,Wazirpur,43296,6348,49644,54721.0,NO,BJP,
18,Model Town,38693,3908,42601,52108.0,NO,BJP,
19,Sadar Bazar,56177,10057,66234,49870.0,YES,AAP,
20,Chandni Chowk,38993,9065,48058,22421.0,YES,AAP,
21,Matia Mahal,58120,10295,68415,15396.0,YES,AAP,
22,Ballimaran,57004,13059,70063,27181.0,YES,AAP,
23,Karol Bagh,52297,4252,56549,44867.0,YES,AAP,
24,Patel Nagar,57512,4654,62166,53463.0,YES,AAP,
25,Moti Nagar,45908,3334,49242,57565.0,NO,BJP,
26,Madipur,41120,17958,59078,52019.0,YES,BJP,YES
27,Rajouri Garden,45942,3198,49140,64132.0,NO,BJP,
28,Hari Nagar,43547,4252,47799,50179.0,NO,BJP,
29,Tilak Nagar,52134,2747,54881,40478.0,YES,AAP,
30,Janakpuri,50220,3345,53565,68986.0,NO,BJP,
31,Vikaspuri,122688,8465,131153,135564.0,NO,BJP,
32,Uttam Nagar,73873,15565,89438,103613.0,NO,BJP,
33,Dwarka,61308,6773,68081,69137.0,NO,BJP,
34,Matiala,117572,9685,127257,146295.0,NO,BJP,
35,Najafgarh,72699,2902,75601,101708.0,NO,BJP,
36,Bijwasan,53675,9409,63084,64951.0,NO,BJP,
37,Palam,73094,4697,77791,82046.0,NO,BJP,
38,Delhi Cantt,22191,4252,26443,20162.0,YES,AAP,
39,Rajinder Nagar,45440,4015,49455,46671.0,YES,BJP,YES
40,New Delhi,25999,4568,30567,30088.0,YES,BJP,YES
41,Jangpura,38184,7350,45534,38859.0,YES,BJP,YES
42,Kasturba Nagar,18617,27019,45636,38067.0,YES,BJP,YES
43,Malviya Nagar,37433,6770,44203,39564.0,YES,BJP,YES
44,R K Puram,28807,3079,31886,43260.0,NO,BJP,
45,Mehrauli,46567,9338,55905,48349.0,YES,BJP,YES
46,Chhatarpur,74230,6601,80831,80469.0,YES,BJP,YES
47,Deoli,86889,12211,99100,,NO,AAP,
48,Ambedkar Nagar,46285,7172,53457,42055.0,YES,AAP,
49,Sangam Vihar,53705,15863,69568,54049.0,YES,BJP,YES
50,Greater Kailash,46406,6711,53117,49594.0,YES,BJP,YES
51,Kalkaji,52154,4392,56546,48633.0,YES,AAP,
52,Tughlakabad,62155,2313,64468,47444.0,YES,AAP,
53,Badarpur,112991,3145,116136,87103.0,YES,AAP,
54,Okhla,88943,12739,101682,65304.0,YES,AAP,
55,Trilokpuri,57825,6147,63972,58217.0,YES,BJP,YES
56,Kondli,61792,7230,69022,55499.0,YES,AAP,
57,Patparganj,45988,16549,62537,74060.0,NO,BJP,
58,Laxmi Nagar,54316,4316,58632,65858.0,NO,BJP,
59,Vishwas Nagar,47099,3627,50726,72141.0,NO,BJP,
60,Krishna Nagar,56424,9393,65817,75922.0,NO,BJP,
61,Gandhi Nagar,44110,3453,47563,56858.0,NO,BJP,
62,Shahdara,57610,3862,61472,62788.0,NO,BJP,
63,Seema Puri,66353,11823,78176,55985.0,YES,AAP,
64,Rohtas Nagar,54994,3639,58633,82896.0,NO,BJP,
65,Seelampur,79009,16551,95560,36532.0,YES,AAP,
66,Ghonda,53929,4883,58812,79987.0,NO,BJP,
67,Babarpur,76192,8797,84989,57198.0,YES,AAP,
68,Gokalpur,80504,5905,86409,72297.0,YES,AAP,
69,Mustafabad,67637,11763,79400,85215.0,NO,BJP,
70,Karawal Nagar,84012,3921,87933,107367.0,NO,BJP,
